iso3_code,total_estimated_floor_area,total_estimated_heat_demand,total_estimated_emissions
MAC,64913321.80928564,2.2628e-05,164018.6318358352
MAF,3353539.6516715004,2.0006e-05,8428.094832594279
MAR,3010830988.2434053,5.2005e-05,14049767.767227076
MCO,4013450.3141599926,5.2005e-05,22474.07911480969
MDA,241536585.2638608,0.000159993,4161048.8829259523
MDG,2326113667.4344964,2.0006e-05,4175695.920654221
MDV,0.0,0.0,0.0
MEX,11290354936.760818,9.4639e-05,32013147.92323591
MHL,0.0,0.0,0.0
MKD,180274054.3977177,0.00034527799999999997,2991278.981393715
MLI,1720892898.20351,9.4639e-05,3114556.4592369283
MLT,47485859.84553588,5.2005e-05,265906.11256307556
MMR,4832383065.486486,4.2634e-05,10968882.21485737
MNE,54005326.11120844,0.00034527799999999997,740027.060151973
MNG,291453777.7272639,0.00040083100000000004,7201177.554261906
MNP,0.0,0.0,0.0
MOZ,2529458251.7210536,2.0006e-05,4540727.588272165
MRT,362215400.6223198,9.4639e-05,704914.9113709589
MSR,436545.5503077019,2.0006e-05,1097.123540765807
MTQ,33077088.244125843,2.0006e-05,83129.13084794796
MUS,0.0,0.0,0.0
MWI,1572863760.7052236,2.0006e-05,2823508.1033530827
MYS,2931345846.669245,2.0006e-05,6548480.007265228
MYT,24149152.039906558,2.0006e-05,43351.06967129155
NAM,216998141.97533146,9.4639e-05,411910.7003479376
NCL,23314396.290569846,2.0006e-05,37202.282300205836
NER,2001509177.774326,4.2634e-05,3642176.7393486896
NFK,0.0,0.0,0.0
NGA,17765565567.04781,2.0006e-05,31891648.59181399
NIC,606766403.8338311,2.0006e-05,1524921.5229033653
NIU,0.0,0.0,0.0
NLD,1435659234.6040661,0.00013328,20603227.910363913
NOR,486150839.98553205,0.00068202,4657619.47679929
NPL,2664399514.0222926,2.2628e-05,6732226.155948894
NRU,0.0,0.0,0.0
NZL,456065433.97210425,0.000207913,1907485.4609601314
OMN,417262203.5106403,7.2011e-05,933146.0639393381
PAK,21846521774.93142,9.4639e-05,76669819.46295178
PAN,378314940.4921135,2.0006e-05,950778.7371667327
PCN,0.0,0.0,0.0
PER,2907786400.4819274,4.2634e-05,6496862.6156625785
PHL,9748669356.374622,2.0006e-05,21778039.75269438
PLW,0.0,0.0,0.0
PNG,802762417.3334025,2.0006e-05,1280950.778112683
POL,3447513464.504615,0.00029327300000000004,55529672.709452525
PRI,283016009.4940257,2.0006e-05,711274.061116038
PRK,2339006985.0043387,0.00040083100000000004,46096980.861880496
PRT,897968860.9482359,7.2011e-05,5002465.524752349
PRY,614249103.8354495,4.2634e-05,1420964.5434883751
PSE,462241869.2496653,5.2005e-05,2684278.4354509604
PYF,0.0,0.0,0.0
QAT,247505720.63254896,5.2005e-05,1437287.084407017
REU,0.0,0.0,0.0
ROU,1744041446.4360878,0.000159993,30045310.545984853
RUS,13023486569.191738,0.001553151,423585942.63718516
RWA,1067618154.8814557,2.0006e-05,1916522.3250124857
SAU,2741996525.078393,9.4639e-05,8803205.995569954
SCG,0.0,0.0,0.0
SDN,3731121653.327868,4.2634e-05,6755188.27385613
SEN,1457754836.3906724,2.0006e-05,2616871.655435517
SGP,494650037.1922466,2.0006e-05,1105023.442671219
SGS,0.0,0.0,0.0
SHN,0.0,0.0,0.0
SJM,0.0,0.0,0.0
SLB,61072739.13816937,2.0006e-05,97452.46044324976
SLE,718813475.742683,2.0006e-05,1290369.6583668895
SLV,585050456.946758,2.0006e-05,1470345.1413023283
SMR,3125104.25456772,5.2005e-05,17499.616230799937
SOM,1356012336.85146,2.0006e-05,2434229.7896355446
SPM,475109.87316070346,0.000158663,9469.68255221698
SRB,626470539.0809085,0.00029327300000000004,10782143.902606262
SSD,1119666464.0196197,2.0006e-05,2009956.2423605088
STP,18161619.56138472,2.0006e-05,32602.62031760048
SUR,45675608.51041127,2.0006e-05,102037.02490102354
SVK,490594308.4027484,0.000159993,8451667.463622635
SVN,184666894.78937906,0.00029327300000000004,2883956.4294728246
SWE,932288896.9448619,0.00068202,9896410.504450418
SWZ,104324532.11733092,4.2634e-05,190623.45764448596
SXM,4308439.044598933,2.0006e-05,10827.942001590109
SYC,0.0,0.0,0.0
SYR,1548910547.1810246,5.2005e-05,8994657.249438643
TCA,6785493.944598653,2.0006e-05,17053.260850089293
TCD,1365395420.2519581,4.2634e-05,2477533.267175946
TGO,682364137.935249,2.0006e-05,1224938.0531431795
THA,6006356801.480456,2.0006e-05,13417900.680565558
TJK,814810935.7143304,0.00021199800000000003,9523042.630285747
