,country_name,iso3_code,continent_name,ohfa_factor,country_area,pop_density,emission_factor,climate_zone,m2_area,heating_demand_factor,estimated_floor_area,estimated_emissions
59,Czechia,CZE,Europe,0.54,78835798395.215,0.00013543,199.4,5.0,23144281044.813,0.000159993,281771183.17942023,4854186.6472469205
60,Germany,DEU,Europe,0.54,357839339941.835,0.0002328,199.4,4.0,357690519236.723,0.00013328,7485630876.997165,107426717.49272296
61,Djibouti,DJI,Africa,0.45,21863454079.221,4.689e-05,199.4,1.0,21863454079.221,2.0006e-05,92158842.23420876,165437.87475099313
62,Dominica,DMA,North America,0.63,754214294.912,9.717e-05,199.4,1.0,754214294.912,2.0006e-05,6588172.547017679,16557.35395049931
63,Denmark,DNK,Northern Europe,0.27,43144847673.362,0.00013491,199.4,4.0,43097580486.852,0.00013328,522678979.4642701,3750497.986671842
64,Dominican Republic,DOM,North America,0.63,48092096498.579,0.00021636,199.4,1.0,48092096498.579,2.0006e-05,935381304.5227537,2350794.431556568
65,Algeria,DZA,Africa,0.45,2308046388759.41,1.805e-05,199.4,3.0,1391481829723.44,5.2005e-05,2257837846.9306536,10535994.059214579
65,Algeria,DZA,Africa,0.45,2308046388759.41,1.805e-05,199.4,1.0,442935393758.872,2.0006e-05,718713154.862166,1290189.5685039582
65,Algeria,DZA,Africa,0.45,2308046388759.41,1.805e-05,199.4,2.0,473629166482.551,2.2628e-05,768517299.077534,1560405.5473676275
66,Ecuador,ECU,South America,0.56,256115524422.997,6.4e-05,199.4,1.0,256087459998.589,2.0006e-05,1473351227.861795,3291392.9519082378
67,Egypt,EGY,Africa,0.45,983764732062.244,0.000102,199.4,3.0,294282607227.69,5.2005e-05,2698377889.5893974,12591733.924948711
67,Egypt,EGY,Africa,0.45,983764732062.244,0.000102,199.4,1.0,39968705879.708,2.0006e-05,366486736.1252527,657894.4057793736
67,Egypt,EGY,Africa,0.45,983764732062.244,0.000102,199.4,2.0,649239412327.44,2.2628e-05,5953098254.015798,12087232.845299447
68,Eritrea,ERI,Africa,0.45,120457523034.21,2.888e-05,199.4,1.0,120457523034.21,2.0006e-05,312729694.2232763,561393.0766658677
69,Western Sahara,ESH,Africa,0.45,267320793321.413,2.25e-06,199.4,3.0,106503668075.134,5.2005e-05,21541953.61341857,100523.55867955518
69,Western Sahara,ESH,Africa,0.45,267320793321.413,2.25e-06,199.4,1.0,160817110505.782,2.0006e-05,32527656.53400436,58391.64465564901
70,Spain,ESP,Europe,0.54,506043753073.921,9.276e-05,199.4,3.0,449130477163.757,5.2005e-05,3745167700.3898554,20971779.543359797
70,Spain,ESP,Europe,0.54,506043753073.921,9.276e-05,199.4,1.0,716391843.576,2.0006e-05,5973782.074034864,12868.518569827185
70,Spain,ESP,Europe,0.54,506043753073.921,9.276e-05,199.4,2.0,55864939144.673,2.2628e-05,465841389.7674314,1135019.0654014824
71,Estonia,EST,Europe,0.54,45489856107.819,2.922e-05,199.4,4.0,2531669969.505,0.00013328,6650056.029600974,95435.33499601296
71,Estonia,EST,Europe,0.54,45489856107.819,2.922e-05,199.4,5.0,42933475596.583,0.000159993,112775370.28991455,1942827.1210084953
72,Ethiopia,ETH,Africa,0.45,1129518182783.17,0.0001011,199.4,1.0,1129518182783.17,2.0006e-05,10265553834.86912,18428089.68092974
73,Finland,FIN,Northern Europe,0.27,336940111431.491,1.633e-05,373.98,8.0,292342851635.218,0.000230084,429157460.2249071,9970460.71938415
