Priority,Alpha-3 code,Name,Continent,Population density,pop_density_1overm2,on-site heat generation fraction,Emission factor tCO2/GWh,,,,,,,,
,ROU,Romania,,81.40,0.00,1.00,199.40,,,,,,,,
,RUS,Russia,,8.58,0.00,1.00,199.40,,,,,,,,
,RWA,Rwanda,,469.83,0.00,1.00,199.40,,,,,,,,
,SAU,Saudi Arabia,,15.92,0.00,1.00,199.40,,,,,,,,
,SDN,Sudan,,22.17,0.00,1.00,199.40,,,,,,,,
,SEN,Senegal,,82.40,0.00,1.00,199.40,,,,,,,,
,SGP,Singapore,,7894.26,0.01,1.00,199.40,,,,,,,,
,SGS,South Georgia and the South Sandwich Islands,,0.00,0.00,1.00,199.40,,,,,,,,
,SHN,Saint Helena,,14.30,0.00,1.00,199.40,,,,,,,,
,SJM,Svalbard and Jan Mayen,,0.04,0.00,1.00,199.40,,,,,,,,
,SLB,Solomon Islands,,24.06,0.00,1.00,199.40,,,,,,,,
,SLE,Sierra Leone,,110.14,0.00,1.00,199.40,,,,,,,,
,SLV,El Salvador,,318.67,0.00,1.00,199.40,,,,,,,,
,SMR,San Marino,,567.89,0.00,1.00,199.40,,,,,,,,
,SOM,Somalia,,23.81,0.00,1.00,199.40,,,,,,,,
,SPM,Saint Pierre and Miquelon,,24.78,0.00,1.00,199.40,,,,,,,,
,SRB,Serbia,,89.08,0.00,1.00,199.40,,,,,,,,
,SSD,South Sudan,,19.83,0.00,1.00,199.40,,,,,,,,
,STP,São Tomé and Príncipe,,201.58,0.00,1.00,199.40,,,,,,,,
,SUR,Suriname,,3.47,0.00,1.00,199.40,,,,,,,,
9,SWE,Sweden,Europe,23.05,0.00,1.00,199.40,,,,,,,,
,SVK,Slovakia,,111.15,0.00,1.00,199.40,,,,,,,,
,SVN,Slovenia,,102.81,0.00,1.00,199.40,,,,,,,,
,SWZ,Swaziland,,66.76,0.00,1.00,199.40,,,,,,,,
,SXM,Sint Maarten,,1261.00,0.00,1.00,199.40,,,,,,,,
,SYC,Seychelles,,212.66,0.00,1.00,199.40,,,,,,,,
,SYR,Syria,,92.18,0.00,1.00,199.40,,,,,,,,
,TCA,Turks and Caicos Islands,,76.28,0.00,1.00,199.40,,,,,,,,
,TCD,Chad,,11.96,0.00,1.00,199.40,,,,,,,,
,TGO,Togo,,133.18,0.00,1.00,199.40,,,,,,,,
,THA,Thailand,,130.00,0.00,1.00,199.40,,,,,,,,
,TJK,Tajikistan,,63.78,0.00,1.00,199.40,,,,,,,,
,TKL,Tokelau,,140.00,0.00,1.00,199.40,,,,,,,,
,TKM,Turkmenistan,,11.91,0.00,1.00,199.40,,,,,,,,
,TLS,Timor-Leste,,78.24,0.00,1.00,199.40,,,,,,,,
,TON,Tonga,,138.89,0.00,1.00,199.40,,,,,,,,
,TTO,Trinidad and Tobago,,264.59,0.00,1.00,199.40,,,,,,,,
,TUN,Tunisia,,71.65,0.00,1.00,199.40,,,,,,,,
,TUR,Turkey,,106.12,0.00,1.00,199.40,,,,,,,,
,TUV,Tuvalu,,396.15,0.00,1.00,199.40,,,,,,,,
,TWN,Taiwan,,652.11,0.00,1.00,199.40,,,,,,,,
,TZA,Tanzania,,59.14,0.00,1.00,199.40,,,,,,,,
,UGA,Uganda,,165.62,0.00,1.00,199.40,,,,,,,,
,UKR,Ukraine,,69.49,0.00,1.00,199.40,,,,,,,,
,UMI,United States Minor Outlying Islands,,0.00,0.00,1.00,199.40,,,,,,,,
,URY,Uruguay,,19.97,0.00,1.00,199.40,,,,,,,,
2,USA,United States,North America,34.00,0.00,0.62,214.88,,,,,,,,
,UZB,Uzbekistan,,72.99,0.00,1.00,199.40,,,,,,,,
,VAT,Vatican City,,924.49,0.00,1.00,199.40,,,,,,,,
,VCT,Saint Vincent and the Grenadines,,284.11,0.00,1.00,199.40,,,,,,,,
,VEN,Venezuela,,35.16,0.00,1.00,199.40,,,,,,,,
,VGB,British Virgin Islands,,213.28,0.00,1.00,199.40,,,,,,,,
,VIR,"Virgin Islands, U.S.",,298.04,0.00,1.00,199.40,,,,,,,,
,WLF,Wallis and Futuna,,81.69,0.00,1.00,199.40,,,,,,,,
,VNM,Vietnam,,290.48,0.00,1.00,199.40,,,,,,,,
,WSM,Samoa,,70.40,0.00,1.00,199.40,,,,,,,,
,VUT,Vanuatu,,24.79,0.00,1.00,199.40,,,,,,,,
,XAD,Akrotiri and Dhekelia,,0.00,0.00,1.00,199.40,,,,,,,,
,XCA,Caspian Sea,,0.00,0.00,1.00,199.40,,,,,,,,
,XCL,Clipperton Island,,0.00,0.00,1.00,199.40,,,,,,,,
,XKO,Kosovo,,164.59,0.00,1.00,199.40,,,,,,,,
,XNC,Northern Cyprus,,0.00,0.00,1.00,199.40,,,,,,,,
,XPI,Paracel Islands,,0.00,0.00,1.00,199.40,,,,,,,,
,XSP,Spratly Islands,,0.00,0.00,1.00,199.40,,,,,,,,
,YEM,Yemen,,63.55,0.00,1.00,199.40,,,,,,,,
,ZAF,South Africa,,48.14,0.00,1.00,199.40,,,,,,,,
,ZMB,Zambia,,21.80,0.00,1.00,199.40,,,,,,,,
,ZWE,Zimbabwe,,38.80,0.00,1.00,199.40,,,,,,,,
